sutta,character,character_id,presence,role,type,aliases
mn99,Todeyya,,mentioned,,,
mn99,atthaka,Aṭṭhaka,mentioned,,,
mn99,vamaka,Vāmaka,mentioned,,,
mn99,vamadeva,Vāmadeva,mentioned,,,
mn99,vessamitta,Vessamitta1,mentioned,,,
mn99,yamadaggi,,mentioned,,,
mn99,angirasa,Aṅgīrasa2,mentioned,,,
mn99,bharadvaja,,mentioned,,,
mn99,vasettha,Vāseṭṭha1,mentioned,,,
mn99,kassapa,Kassapa4,mentioned,,,
mn99,bhagu,Bhagu,mentioned,,,
mn99,pokkharasati,Pokkharasāti,mentioned,,,
mn99,punnika,Puṇṇikā2,mentioned,,,
mn99,canki,Caṅkī,mentioned,,,
mn99,tarukkha,Tārukkha,mentioned,,,
mn99,Jāṇussoṇi,Jāṇussoṇi,present,speaker,,
mn99,Brahmā,,mentioned,,,
mn99,Pasenadi,Pasendi,mentioned,,,
mn100,Buddha,Buddha,present,teacher,,
mn100,dhananjani,,present,speaker,,
mn100,sangarava,Saṅgārava,present,speaker,,
mn100,Āḷāra Kālāma,Āḷārakālāma,mentioned,,,Kālāma
mn100,Uddaka,Uddaka,mentioned,,,
mn100,Rāma,,mentioned,,,
mn100,suddodhana,Suddhodana,mentioned,,,
mn101,Buddha,Buddha,present,teacher,,
mn101,Nātaputta,Nigaṇṭha Nāṭaputta,mentioned,,,
mn102,Buddha,Buddha,present,teacher,,
mn103,Buddha,Buddha,present,teacher,,
mn104,Buddha,Buddha,present,teacher,,
mn104,Nātaputta,Nigaṇṭha Nāṭaputta,mentioned,,,
mn104,cunda,,present,speaker,,
mn104,Ānanda,Ānanda,present,speaker,,
mn105,Buddha,,present,teacher,,
mn105,sunakkhatta,Sunakkhatta,present,speaker,,
mn106,Buddha,Buddha,present,teacher,,
mn106,Māra,Māra,mentioned,,,
mn106,Ānanda,Ānanda,present,speaker,,
mn107,Buddha,Buddha,present,teacher,,
mn107,moggallana,Gaṇaka-Moggallāna,present,speaker,,
mn108,Ānanda,Ānanda,present,teacher,,
mn108,Buddha,Buddha,mentioned,,,
mn108,Ajātasattu,Ajātasattu,mentioned,,,
mn108,pajotta,,mentioned,,,
mn108,moggallana,,present,speaker,,
mn108,vassakara,Vassakāra,present,speaker,,
mn108,upananda,Upananda3,present,speaker,,
mn109,Buddha,Buddha,present,teacher,,
mn110,Buddha,Buddha,present,teacher,,
mn111,Buddha,Buddha,present,teacher,,
mn111,Sāriputta,Sāriputta,mentioned,,,
mn112,Buddha,Buddha,present,teacher,,
mn113,Buddha,Buddha,present,teacher,,
mn114,Buddha,Buddha,present,teacher,,
mn114,Sāriputta,Sāriputta,present,speaker,,
mn115,Buddha,Buddha,present,teacher,,
mn115,Ānanda,Ānanda,present,speaker,,
mn115,sakka,Sakka,mentioned,,,
mn115,Māra,Māra,mentioned,,,
